,,,,,,,,,,,,ALAN,ALAN,ALAN,ALAN,ALAN,Surface Normalised,Surface Normalised,Surface Normalised,Seabed Normalised,Seabed Normalised,Seabed Normalised,Surface,Surface,Surface,Seabed,Seabed,Seabed,Residuals,Residuals,Residuals
,Location_Lat (deg),Location_Long (deg),time_increment (m),depth_to_datum(m),modelled_tidal_range (m),date,Jday (decimal),Kd Blue,Kd Green,Kd Red,Kd Bb,binary_day,sky_condition,Falchi_ALAN (mCd/m^2),ALAN_Bb (uW/m^2),ALAN_BB_Below_tide(uW/m^2),Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
0,50.3819,-4.1927,0.25,0.0,[1.12032969],2021-03-01 00:00:00+00:00,60.0,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,147.32437219334432,1.0,1.0,1.0,1.0,1.0,1.0,38.98032063631038,39.67948284063091,68.664568716403,38.98032063631038,39.67948284063091,68.664568716403,0.0,0.0,0.0
1,50.3819,-4.1927,0.25,0.0,[0.92222246],2021-03-01 00:15:00+00:00,60.010416666666664,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,147.32437219334432,1.0,1.0,1.0,1.0,1.0,1.0,38.98032063631038,39.67948284063091,68.664568716403,38.98032063631038,39.67948284063091,68.664568716403,0.0,0.0,0.0
2,50.3819,-4.1927,0.25,0.0,[0.76953078],2021-03-01 00:30:00+00:00,60.020833333333336,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,147.32437219334432,1.0,1.0,1.0,1.0,1.0,1.0,38.98032063631038,39.67948284063091,68.664568716403,38.98032063631038,39.67948284063091,68.664568716403,0.0,0.0,0.0
3,50.3819,-4.1927,0.25,0.0,[0.66854381],2021-03-01 00:45:00+00:00,60.03125,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,147.32437219334432,1.0,1.0,1.0,1.0,1.0,1.0,38.98032063631038,39.67948284063091,68.664568716403,38.98032063631038,39.67948284063091,68.664568716403,0.0,0.0,0.0
4,50.3819,-4.1927,0.25,0.0,[0.62475661],2021-03-01 01:00:00+00:00,60.041666666666664,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,147.32437219334432,1.0,1.0,1.0,1.0,1.0,1.0,38.98032063631038,39.67948284063091,68.664568716403,38.98032063631038,39.67948284063091,68.664568716403,0.0,0.0,0.0
5,50.3819,-4.1927,0.25,0.0,[0.64243597],2021-03-01 01:15:00+00:00,60.052083333333336,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,147.32437219334432,1.0,1.0,1.0,1.0,1.0,1.0,38.98032063631038,39.67948284063091,68.664568716403,38.98032063631038,39.67948284063091,68.664568716403,0.0,0.0,0.0
6,50.3819,-4.1927,0.25,0.0,[0.72409675],2021-03-01 01:30:00+00:00,60.0625,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,147.32437219334432,1.0,1.0,1.0,1.0,1.0,1.0,38.98032063631038,39.67948284063091,68.664568716403,38.98032063631038,39.67948284063091,68.664568716403,0.0,0.0,0.0
7,50.3819,-4.1927,0.25,0.0,[0.86996041],2021-03-01 01:45:00+00:00,60.072916666666664,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,147.32437219334432,1.0,1.0,1.0,1.0,1.0,1.0,38.98032063631038,39.67948284063091,68.664568716403,38.98032063631038,39.67948284063091,68.664568716403,0.0,0.0,0.0
8,50.3819,-4.1927,0.25,0.0,[1.07749954],2021-03-01 02:00:00+00:00,60.083333333333336,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,147.32437219334432,1.0,1.0,1.0,1.0,1.0,1.0,38.98032063631038,39.67948284063091,68.664568716403,38.98032063631038,39.67948284063091,68.664568716403,0.0,0.0,0.0
9,50.3819,-4.1927,0.25,0.0,[1.34118289],2021-03-01 02:15:00+00:00,60.09375,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,147.32437219334432,1.0,1.0,1.0,1.0,1.0,1.0,38.98032063631038,39.67948284063091,68.664568716403,38.98032063631038,39.67948284063091,68.664568716403,0.0,0.0,0.0
10,50.3819,-4.1927,0.25,0.09252041130518363,[1.65252041],2021-03-01 02:30:00+00:00,60.104166666666664,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,142.69451810346808,1.0,1.0,1.0,0.9471497452825874,0.9847906690919349,0.9741716761700329,38.98032063631038,39.67948284063091,68.664568716403,36.920200761714966,39.075984455846864,66.89107799995071,2.060119874595415,0.6034983847840465,1.7734907164522866
11,50.3819,-4.1927,0.25,0.4404654016803482,[2.0004654],2021-03-01 02:45:00+00:00,60.114583333333336,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,126.54820085571271,1.0,1.0,1.0,0.7722098997346145,0.9296343732663384,0.8828696546737329,38.98032063631038,39.67948284063091,68.664568716403,30.100989490188365,36.887411162082344,60.62186407097152,8.879331146122016,2.7920716785485666,8.042704645431478
12,50.3819,-4.1927,0.25,0.8121691857203106,[2.37216919],2021-03-01 03:00:00+00:00,60.125,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,111.31241446850588,1.0,1.0,1.0,0.6208640389724911,0.8741202352735353,0.7947660961052204,38.98032063631038,39.67948284063091,68.664568716403,24.201479310702407,34.6846388761845,54.57227121948426,14.778841325607974,4.99484396444641,14.09229749691874
13,50.3819,-4.1927,0.25,1.1940152340490506,[2.75401523],2021-03-01 03:15:00+00:00,60.135416666666664,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,97.56882390631141,1.0,1.0,1.0,0.4962181139107517,0.8205414469019093,0.7134052094733335,38.98032063631038,39.67948284063091,68.664568716403,19.34274118578629,32.55866026237077,48.985661028521584,19.63757945052409,7.120822578260139,19.678907687881413
14,50.3819,-4.1927,0.25,1.5727984450192283,[3.13279845],2021-03-01 03:30:00+00:00,60.145833333333336,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,85.61258426034415,1.0,1.0,1.0,0.3973098839984276,0.7706376403336357,0.6409282820514922,38.98032063631038,39.67948284063091,68.664568716403,15.487266670233991,30.578503025962792,44.00906406521081,23.49305396607639,9.100979814668118,24.65550465119219
15,50.3819,-4.1927,0.25,1.9368766832057367,[3.49687668],2021-03-01 03:45:00+00:00,60.15625,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.0,clear,2.005971193313598,147.32437219334432,75.50369059638487,1.0,1.0,1.0,0.3208736752739532,0.725534072765851,0.5782143188826107,38.98032063631038,39.67948284063091,68.664568716403,12.507758745930035,28.788816790605644,39.702836831723175,26.472561890380348,10.890666050025267,28.96173188467982
