,,,,,,,,,,,,Solar position,Solar position,Solar position,Solar position,Surface Normalised,Surface Normalised,Surface Normalised,Seabed Normalised,Seabed Normalised,Seabed Normalised,Surface,Surface,Surface,Seabed,Seabed,Seabed,Residuals,Residuals,Residuals
,Location_Lat (deg),Location_Long (deg),time_increment (m),depth_to_datum(m),modelled_tidal_range (m),date,Jday (decimal),Kd Blue,Kd Green,Kd Red,Kd Bb,Solar_Alt (deg),binary_day,BB_I_(W/m2),BB_I_Below_tide_(W/m2),Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
0,50.3819,-4.1927,0.25,2.623807242562649,[4.18380724],2021-06-01 00:00:00+00:00,152.0,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,2.8618404644439927e-05,3.9028110003555154e-05,2.032025753861907e-05,1.0746323583490743e-05,3.4894903223049015e-05,1.6292521513157304e-05,0.003421113151125781,0.0031664008530468205,0.002529285267660902,0.0007200795028878122,0.002122911364205946,0.0014199437095540586,0.0027010336482379688,0.0010434894888408743,0.0011093415581068435
1,50.3819,-4.1927,0.25,2.4287179687182725,[3.98871797],2021-06-01 00:15:00+00:00,152.01041666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,2.8605629522585232e-05,3.863499188683648e-05,2.0237256461551366e-05,1.2061115886804881e-05,3.5585707329289364e-05,1.693764941814222e-05,0.003419585982231242,0.0031345066736973015,0.0025189540304200184,0.0008081798639848518,0.0021649380142930307,0.0014761686045036437,0.0026114061182463903,0.0009695686594042708,0.0010427854259163747
2,50.3819,-4.1927,0.25,2.2201070595939543,[3.78010706],2021-06-01 00:30:00+00:00,152.02083333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,2.8620729639907406e-05,3.9099513256135055e-05,2.0335345277788702e-05,1.3659221592609407e-05,3.717673453965407e-05,1.781917400224797e-05,0.00342139108669448,0.0031721938909330706,0.002531163255493071,0.0009152642220220304,0.002261731798876824,0.0015529962021844184,0.0025061268646724495,0.0009104620920562466,0.0009781670533086527
3,50.3819,-4.1927,0.25,1.999978029617159,[3.55997803],2021-06-01 00:45:00+00:00,152.03125,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,2.8664995669469577e-05,4.0451606737623776e-05,2.0621686640204802e-05,1.5591122801624525e-05,3.9774342157691654e-05,1.8966856901868575e-05,0.0034266827546880234,0.0032818909772842912,0.0025668044863241548,0.0010447152339339654,0.0024197632081296647,0.0016530203213830942,0.002381967520754058,0.0008621277691546266,0.0009137841649410605
4,50.3819,-4.1927,0.25,1.771259140528187,[3.33125914],2021-06-01 01:00:00+00:00,152.04166666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,2.9159025600123563e-05,4.357450564257211e-05,2.149062069207878e-05,1.8167470201046776e-05,4.436448892796219e-05,2.0786249824580064e-05,0.003485740284756824,0.003535255789357093,0.0026749616832394407,0.001217348687619683,0.002699015300611298,0.0018115860494519543,0.002268391597137141,0.000836240488745795,0.0008633756337874865
5,50.3819,-4.1927,0.25,1.537836692394745,[3.09783669],2021-06-01 01:15:00+00:00,152.05208333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,3.099927452527623e-05,5.065580291992904e-05,2.3848135634464004e-05,2.2186160834877986e-05,5.344157727134782e-05,2.42821467989173e-05,0.0037057280820293748,0.004109770561854624,0.0029684042147001227,0.0014866293147464064,0.0032512407610145364,0.0021162642979324292,0.002219098767282968,0.0008585298008400876,0.0008521399167676935
6,50.3819,-4.1927,0.25,1.3044100016433133,[2.86441],2021-06-01 01:30:00+00:00,152.0625,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,3.5140306942024896e-05,6.324643685155117e-05,2.8375195260841267e-05,2.888992732216778e-05,6.914064994878996e-05,3.0414268460800177e-05,0.004200757089976868,0.005131264915997241,0.003531892408541027,0.001935828969134216,0.0042063298060078785,0.002650697692602436,0.002264928120842652,0.0009249351099893622,0.000881194715938591
7,50.3819,-4.1927,0.25,1.0761989392512503,[2.63619894],2021-06-01 01:45:00+00:00,152.07291666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,4.4106262477553e-05,8.660090261607127e-05,3.729446728567936e-05,4.1524661865747665e-05,9.80216462193814e-05,4.2033000846946085e-05,0.005272569050709751,0.007026042816143904,0.004642084210382536,0.002782445330401941,0.005963371365932023,0.0036633062045124372,0.00249012372030781,0.001062671450211881,0.0009787780058700991
8,50.3819,-4.1927,0.25,0.8585699819974493,[2.41856998],2021-06-01 02:00:00+00:00,152.08333333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,-17.010693675301336,0.5,0.0,0.0,6.305089087787891e-05,0.0001306781344844158,5.486760551950957e-05,6.755110628856456e-05,0.00015289891135845176,6.487214523483289e-05,0.007537255645534937,0.01060208543197017,0.006829432454218616,0.004526400741414379,0.009301955486816593,0.005653808373190693,0.0030108549041205574,0.0013001299451535775,0.0011756240810279223
