Month,Year,solar_I_BB(J/m2),monthly_lunar_I_BB(J/m2),monthly_ALAN_I_BB(J/m2),monthly_twilight_I_BB(J/m2),monthly_solar_I_Red(J/m2),monthly_solar_I_Green(J/m2),monthly_solar_I_Blue(J/m2),monthly_lunar_I_Red(J/m2),monthly_lunar_I_Green(J/m2),monthly_lunar_I_Blue(J/m2),monthly_ALAN_I_Red(J/m2),monthly_ALAN_I_Green(J/m2),monthly_ALAN_I_Blue(J/m2),monthly_twilight_I_Red(J/m2),monthly_twilight_I_Green(J/m2),monthly_twilight_I_Blue(J/m2),monthly_solar_I_BB_datum(J/m2),monthly_lunar_I_BB_datum(J/m2),monthly_ALAN_I_BB_datum(J/m2),monthly_twilight_I_BB_datum(J/m2),monthly_solar_I_Red_datum(J/m2),monthly_solar_I_Green_datum(J/m2),monthly_solar_I_Blue_datum(J/m2),monthly_lunar_I_Red_datum(J/m2),monthly_lunar_I_Green_datum(J/m2),monthly_lunar_I_Blue_datum(J/m2),monthly_ALAN_I_Red_datum(J/m2),monthly_ALAN_I_Green_datum(J/m2),monthly_ALAN_I_Blue_datum(J/m2),monthly_twilight_I_Red_datum(J/m2),monthly_twilight_I_Green_datum(J/m2),monthly_twilight_I_Blue_datum(J/m2)
Jan,2020,153299561.3014806,167.2806574242535,355.21693829600963,173067.7210235942,55425084.8932707,35303509.15874809,49508489.43085032,58.48895155517137,38.51595820445761,55.28332302885233,49.93070904320495,50.19586653211915,93.32548141406825,104369.47793889922,121036.93556894318,92373.76896980242,82615805.35317874,138.75026707580284,135.81531897645365,91195.61977344406,29349349.820345562,23548152.70654106,22005099.232611872,48.1425359277853,33.8758900177442,43.82478828645099,34.74689359142846,39.51546983636228,59.475797229472505,54050.575487470516,79361.39834108627,40051.00009893287
Feb,2020,192731328.2258303,141.73859171504702,331.5440288365047,148764.73818320452,68882942.87347586,44412912.06480357,62678151.91142051,49.61296607539123,32.63559340326371,46.797263427207795,43.6297017834506,43.861397715446365,81.54826961038086,89682.88336536134,104144.40935558813,79378.5777101834,106726527.78565323,116.30478799294964,112.19844340861398,71694.24567507513,39686934.4009856,29929567.87917493,27674929.00012537,41.05898427082174,28.425333162284566,36.21000277789859,29.728939681050626,33.117303033471806,47.0699266001419,45408.849530385894,63821.12391675882,29133.193997475566
Mar,2020,275723861.22505057,115.69236823465454,355.21693829600963,157419.86639377233,97470464.43553142,63547200.32962379,90393792.12264481,40.622977163575925,26.638647228052275,38.09632351174081,42.57953390682487,42.80565291266757,79.58540097643296,94892.83755429977,110191.56646834093,83999.09584596388,173085400.46693322,91.9300494927182,101.71950303319412,73818.22867991636,64673140.49475938,46324514.99136342,47118824.46690646,33.01291176541571,22.691348308046337,28.0110656553463,27.864628147868878,30.824230466204444,40.40404516665333,48984.52373942433,66357.59122021814,28554.23753068162
Apr,2020,325034342.12747777,87.29490157696372,343.38048356625717,147434.86270403705,114107254.84443122,74896358.2628046,107160435.42127845,30.827181625601046,20.096952892386625,28.616072705173902,36.85134548886637,37.047044897510496,68.8788447912626,88818.73451523625,103485.24200154765,78607.23691732796,237020488.13371354,68.40750903143513,91.20899893079701,82370.80436171012,84023882.7238054,60947759.44314938,70045482.40130839,24.283354224853642,17.12240890206747,20.703832567619216,23.951431521938762,27.77646894418657,37.2105867229341,50745.35482705964,71192.19429012151,35336.207893099505
May,2020,372785844.87214243,68.12021164463441,355.21693829600963,172860.34576036347,130461734.67941958,85893998.85339645,123243093.35589181,24.252937203691317,15.67607882413218,22.191813894603516,34.40095377673968,34.5836403576933,64.29881797871751,104154.64981388443,121095.51840883498,92211.83146023043,305269981.39279914,53.24701516541556,94.20124969179201,118329.46968506384,100604497.72888756,76228645.13743222,99217760.25247632,17.534125797596317,13.557115635742306,16.981858424426093,21.808011903273496,28.22576277741611,43.98834735942114,63441.503154748876,96900.67627379516,60942.7055720804
Jun,2020,371987523.99944794,52.23794255083549,343.38048356625717,166724.05881038218,130060188.80568972,85704054.7087236,123081907.15533909,18.78479806633361,12.011452055014226,16.897067227180703,31.377743222817138,31.5443750163604,58.64813554765538,100513.67569650774,117054.26288543112,88860.80365773328,292606214.3378047,34.5789755630966,75.56175069326659,102417.20640776536,97991152.36063778,73520242.47692588,93062401.89896873,11.482343521154602,9.297093160365884,10.370478268366588,17.8176136587495,23.48783918180977,33.369023006028854,56361.155841293315,86402.08466742167,49926.78687519573
Jul,2020,375234507.1911657,51.54222919706312,355.21693829600963,186987.26137135236,131251107.07384832,86462084.66930346,124116228.34336433,18.59541787890892,11.846767815404112,16.637194539226197,33.57354878303456,33.751841422170614,62.75231541863735,112721.92942773394,130785.57653332976,99794.35980118322,261097764.39607668,25.677855828985294,62.396463242990755,89523.30407820716,93590255.46758895,67589825.91829458,76157240.17157939,9.796043513574563,7.526871120832315,6.173632034273415,17.09891599200452,20.890860943156905,22.13568310053528,57250.077085009274,80574.77228594256,35415.822673290175
Aug,2020,344113414.3983536,66.05322799739417,355.21693829600963,162433.0993566495,120623123.91851321,79292764.29914874,113602585.82816306,23.70172467823741,15.18979061924081,21.40189279685489,36.75587568190039,36.951068097257874,68.70040218817644,97894.64097050748,113856.1487776271,86634.60346824078,235014263.7492422,34.1065690855416,71.29914091840443,74754.48157552336,83302424.14541578,61091000.32038885,68864599.6454004,12.527483323589617,9.81287228335547,8.680006330927432,18.899655622086982,23.326579615617966,26.825681249021947,46394.3614385335,67860.10789199774,30296.942168241392
Sep,2020,282668709.78291726,88.07622094734567,343.38048356625717,152807.88663039645,99607226.91609588,65146090.39795786,92909985.78646322,31.25563415203488,20.272524574389088,28.76441480985425,39.747262966834285,39.958341171839905,74.29160375154316,92120.00858418601,106943.8905343698,81538.82318861889,170484294.2174741,46.369854332256885,76.51402882209175,64017.03596630829,62745767.623880416,45632493.993838005,47063140.64161585,17.451012433251613,13.026095181605877,11.842700052307281,21.088694202809194,24.545690931534494,28.5423848785071,41883.14669059805,58327.42679512661,24828.702418538753
Oct,2020,226849290.8342452,139.59928662119512,355.21693829600963,150564.62373751972,80693310.36022007,52279654.56740662,74022376.01229593,49.136736858655695,32.142283776188386,45.87930259567098,45.284511770860824,45.52499558649175,84.64127473054117,90717.75922176833,105575.6327234812,80306.2791521168,141277686.32040197,97.51103296912535,111.81074388564099,77231.78086200697,49483594.19892268,38324327.66290646,40026020.1909265,33.86063289238771,25.363529883284166,28.931943961273426,28.491954377162998,33.764678604149765,47.41408021114201,45620.929347838144,68145.32097068182,33743.601095360704
