Rural Location: Cherry Springs State Park (41.6646N,77.8125W)
Wavelength(nm),Elev=0.0(log(W/m2/nm)),Elev=-1.0(log(W/m2/nm)),Elev=-2.0(log(W/m2/nm)),Elev=-3.0(log(W/m2/nm)),Elev=-4.0(log(W/m2/nm)),Elev=-5.0(log(W/m2/nm)),Elev=-6.0(log(W/m2/nm)),Elev=-7.0(log(W/m2/nm)),Elev=-8.0(log(W/m2/nm)),Elev=-9.0(log(W/m2/nm)),Elev=-10.0(log(W/m2/nm)),Elev=-11.0(log(W/m2/nm)),Elev=-12.0(log(W/m2/nm)),Elev=-13.0(log(W/m2/nm)),Elev=-14.0(log(W/m2/nm)),Elev=-15.0(log(W/m2/nm)),Elev=-16.0(log(W/m2/nm)),Elev=-17.0(log(W/m2/nm)),Elev=-18.0(log(W/m2/nm))
280,-2.760,-3.029,-3.144,-3.342,-3.563,-3.894,-4.225,-4.652,-5.201,-5.631,-6.129,-6.581,-7.004,-7.365,-7.448,-7.616,-7.680,-7.628,-7.596
281,-2.775,-3.048,-3.147,-3.355,-3.592,-3.892,-4.230,-4.650,-5.189,-5.626,-6.130,-6.625,-7.052,-7.407,-7.504,-7.746,-7.803,-7.729,-7.761
282,-2.780,-3.060,-3.159,-3.372,-3.605,-3.911,-4.237,-4.665,-5.211,-5.646,-6.144,-6.625,-7.028,-7.387,-7.497,-7.681,-7.811,-7.780,-7.667
283,-2.814,-3.085,-3.186,-3.391,-3.631,-3.939,-4.272,-4.696,-5.239,-5.677,-6.180,-6.666,-7.101,-7.416,-7.589,-7.750,-7.832,-7.834,-7.685
284,-2.839,-3.095,-3.205,-3.411,-3.656,-3.948,-4.296,-4.720,-5.267,-5.711,-6.205,-6.697,-7.158,-7.519,-7.690,-7.853,-7.972,-7.908,-7.775
285,-2.837,-3.072,-3.231,-3.437,-3.662,-3.949,-4.300,-4.731,-5.276,-5.705,-6.216,-6.720,-7.141,-7.483,-7.699,-7.854,-7.958,-7.899,-7.804
286,-2.856,-3.091,-3.231,-3.442,-3.671,-3.947,-4.309,-4.743,-5.294,-5.726,-6.237,-6.767,-7.162,-7.579,-7.778,-7.871,-7.984,-7.920,-7.826
287,-2.865,-3.095,-3.246,-3.456,-3.674,-3.940,-4.325,-4.759,-5.291,-5.743,-6.250,-6.750,-7.196,-7.606,-7.784,-7.878,-7.981,-7.913,-7.841
288,-2.858,-3.081,-3.258,-3.466,-3.672,-3.930,-4.336,-4.758,-5.300,-5.740,-6.252,-6.731,-7.160,-7.562,-7.750,-7.869,-8.010,-7.900,-7.808
289,-2.870,-3.084,-3.267,-3.477,-3.676,-3.939,-4.347,-4.786,-5.306,-5.752,-6.261,-6.713,-7.159,-7.564,-7.702,-7.886,-7.950,-7.840,-7.788
290,-2.890,-3.115,-3.286,-3.496,-3.684,-3.966,-4.372,-4.820,-5.328,-5.780,-6.278,-6.702,-7.166,-7.575,-7.738,-7.905,-7.978,-7.838,-7.823
