Urban Location: University of Pennsylvania (39.9522N,75.1887W)
Wavelength(nm),Elev=0.0(log(W/m2/nm)),Elev=-1.0(log(W/m2/nm)),Elev=-2.0(log(W/m2/nm)),Elev=-3.0(log(W/m2/nm)),Elev=-4.0(log(W/m2/nm)),Elev=-5.0(log(W/m2/nm)),Elev=-6.0(log(W/m2/nm)),Elev=-7.0(log(W/m2/nm)),Elev=-8.0(log(W/m2/nm)),Elev=-9.0(log(W/m2/nm)),Elev=-10.0(log(W/m2/nm)),Elev=-11.0(log(W/m2/nm)),Elev=-12.0(log(W/m2/nm)),Elev=-13.0(log(W/m2/nm)),Elev=-14.0(log(W/m2/nm)),Elev=-15.0(log(W/m2/nm)),Elev=-16.0(log(W/m2/nm)),Elev=-17.0(log(W/m2/nm)),Elev=-18.0(log(W/m2/nm))
280,-3.235,-3.463,-3.744,-4.030,-4.428,-4.915,-5.400,-5.944,-6.366,-6.695,-6.905,-7.010,-7.037,-6.982,-6.954,-6.940,-6.937,-6.826,-6.796
281,-3.237,-3.472,-3.751,-4.036,-4.442,-4.918,-5.411,-5.942,-6.376,-6.719,-6.940,-7.058,-7.043,-7.013,-6.967,-6.976,-6.968,-6.851,-6.821
282,-3.251,-3.468,-3.759,-4.052,-4.462,-4.931,-5.427,-5.939,-6.383,-6.707,-6.907,-7.026,-6.982,-6.965,-6.952,-6.945,-6.937,-6.822,-6.810
283,-3.277,-3.496,-3.788,-4.079,-4.494,-4.967,-5.451,-5.960,-6.415,-6.753,-6.971,-7.050,-6.983,-6.966,-6.968,-6.942,-6.933,-6.854,-6.841
284,-3.283,-3.517,-3.810,-4.107,-4.513,-4.989,-5.468,-5.978,-6.430,-6.766,-7.003,-7.065,-6.968,-6.963,-6.958,-6.954,-6.919,-6.878,-6.855
285,-3.297,-3.528,-3.815,-4.104,-4.504,-4.996,-5.470,-5.978,-6.425,-6.789,-7.022,-7.059,-6.942,-6.956,-6.937,-6.930,-6.917,-6.873,-6.826
286,-3.304,-3.535,-3.816,-4.106,-4.528,-5.007,-5.484,-5.990,-6.435,-6.809,-7.044,-7.108,-6.978,-7.000,-6.965,-6.952,-6.941,-6.914,-6.854
287,-3.309,-3.537,-3.813,-4.101,-4.533,-5.014,-5.500,-6.021,-6.441,-6.830,-7.056,-7.100,-6.994,-7.010,-6.978,-6.967,-6.925,-6.918,-6.877
288,-3.319,-3.544,-3.811,-4.108,-4.535,-5.022,-5.520,-6.027,-6.450,-6.847,-7.051,-7.079,-6.986,-7.001,-6.976,-6.949,-6.914,-6.904,-6.872
289,-3.328,-3.560,-3.824,-4.120,-4.532,-5.025,-5.532,-6.032,-6.450,-6.834,-7.045,-7.068,-6.966,-6.977,-6.964,-6.931,-6.906,-6.885,-6.857
290,-3.340,-3.577,-3.832,-4.132,-4.562,-5.050,-5.538,-6.052,-6.463,-6.834,-7.066,-7.104,-6.999,-7.002,-6.978,-6.951,-6.918,-6.892,-6.875
291,-3.355,-3.581,-3.833,-4.148,-4.570,-5.068,-5.541,-6.050,-6.461,-6.825,-7.040,-7.092,-7.007,-7.019,-6.992,-6.965,-6.930,-6.890,-6.872
292,-3.366,-3.589,-3.831,-4.143,-4.558,-5.069,-5.546,-6.043,-6.463,-6.823,-7.014,-7.075,-7.002,-7.014,-6.976,-6.974,-6.949,-6.874,-6.864
293,-3.358,-3.582,-3.832,-4.146,-4.566,-5.065,-5.549,-6.057,-6.461,-6.822,-6.997,-7.060,-7.000,-6.986,-6.966,-6.963,-6.951,-6.874,-6.874
294,-3.363,-3.594,-3.837,-4.160,-4.557,-5.072,-5.556,-6.054,-6.437,-6.789,-6.959,-7.001,-6.960,-6.941,-6.938,-6.933,-6.935,-6.858,-6.872
295,-3.365,-3.595,-3.841,-4.161,-4.565,-5.084,-5.543,-6.040,-6.461,-6.801,-6.956,-7.014,-6.958,-6.937,-6.940,-6.930,-6.950,-6.856,-6.866
296,-3.368,-3.610,-3.854,-4.158,-4.570,-5.094,-5.543,-6.048,-6.463,-6.813,-6.961,-7.023,-7.002,-6.960,-6.976,-6.957,-6.986,-6.885,-6.891
297,-3.380,-3.608,-3.859,-4.175,-4.598,-5.105,-5.536,-6.060,-6.480,-6.826,-6.973,-7.047,-7.052,-7.013,-7.018,-6.994,-7.006,-6.905,-6.909
298,-3.391,-3.620,-3.862,-4.185,-4.601,-5.113,-5.549,-6.083,-6.493,-6.862,-6.991,-7.106,-7.137,-7.091,-7.083,-7.047,-7.066,-6.984,-6.988
299,-3.387,-3.630,-3.870,-4.178,-4.592,-5.107,-5.569,-6.094,-6.496,-6.868,-7.037,-7.164,-7.122,-7.089,-7.084,-7.054,-7.072,-6.964,-6.962
300,-3.386,-3.630,-3.870,-4.185,-4.596,-5.109,-5.562,-6.084,-6.493,-6.866,-7.049,-7.182,-7.126,-7.119,-7.097,-7.052,-7.073,-6.986,-6.984
301,-3.395,-3.628,-3.865,-4.186,-4.595,-5.103,-5.555,-6.088,-6.501,-6.867,-7.052,-7.201,-7.180,-7.149,-7.131,-7.069,-7.091,-6.978,-6.977
302,-3.399,-3.625,-3.864,-4.190,-4.615,-5.102,-5.543,-6.101,-6.521,-6.907,-7.078,-7.229,-7.183,-7.155,-7.129,-7.086,-7.093,-6.952,-6.964
303,-3.397,-3.625,-3.881,-4.199,-4.614,-5.098,-5.554,-6.109,-6.530,-6.911,-7.098,-7.244,-7.196,-7.183,-7.163,-7.106,-7.126,-6.990,-7.002
304,-3.398,-3.622,-3.885,-4.202,-4.612,-5.084,-5.544,-6.114,-6.532,-6.913,-7.087,-7.238,-7.203,-7.216,-7.177,-7.133,-7.149,-7.012,-7.018
305,-3.389,-3.622,-3.880,-4.195,-4.595,-5.076,-5.539,-6.110,-6.541,-6.914,-7.113,-7.232,-7.179,-7.180,-7.187,-7.114,-7.146,-7.006,-7.020
306,-3.382,-3.615,-3.872,-4.174,-4.576,-5.054,-5.525,-6.096,-6.531,-6.879,-7.058,-7.161,-7.116,-7.129,-7.124,-7.086,-7.116,-7.002,-6.992
307,-3.377,-3.605,-3.864,-4.173,-4.564,-5.032,-5.510,-6.092,-6.522,-6.878,-7.046,-7.136,-7.097,-7.099,-7.108,-7.069,-7.097,-7.031,-7.025
308,-3.373,-3.598,-3.855,-4.158,-4.539,-5.009,-5.498,-6.082,-6.542,-6.900,-7.052,-7.146,-7.117,-7.113,-7.142,-7.093,-7.136,-7.067,-7.047
309,-3.355,-3.591,-3.845,-4.141,-4.503,-4.986,-5.480,-6.057,-6.514,-6.881,-7.046,-7.119,-7.102,-7.095,-7.090,-7.066,-7.099,-7.058,-7.043
310,-3.347,-3.588,-3.838,-4.131,-4.475,-4.959,-5.465,-6.042,-6.528,-6.886,-7.059,-7.132,-7.134,-7.142,-7.146,-7.100,-7.128,-7.093,-7.075
311,-3.333,-3.566,-3.812,-4.107,-4.444,-4.917,-5.421,-6.010,-6.504,-6.868,-7.055,-7.135,-7.120,-7.120,-7.109,-7.087,-7.093,-7.072,-7.041
312,-3.312,-3.536,-3.773,-4.076,-4.414,-4.878,-5.373,-5.961,-6.472,-6.830,-7.030,-7.129,-7.086,-7.110,-7.070,-7.066,-7.067,-7.053,-7.027
313,-3.294,-3.517,-3.744,-4.048,-4.382,-4.848,-5.350,-5.928,-6.439,-6.815,-7.012,-7.101,-7.061,-7.088,-7.033,-7.043,-7.045,-7.027,-7.005
314,-3.276,-3.489,-3.721,-4.015,-4.350,-4.816,-5.317,-5.898,-6.448,-6.851,-7.077,-7.169,-7.138,-7.153,-7.095,-7.097,-7.103,-7.079,-7.061
315,-3.249,-3.466,-3.707,-3.991,-4.323,-4.780,-5.277,-5.873,-6.422,-6.842,-7.094,-7.199,-7.190,-7.202,-7.166,-7.153,-7.146,-7.089,-7.078
316,-3.203,-3.438,-3.683,-3.967,-4.302,-4.753,-5.235,-5.838,-6.391,-6.818,-7.083,-7.180,-7.149,-7.165,-7.106,-7.141,-7.119,-7.078,-7.057
317,-3.142,-3.376,-3.633,-3.918,-4.260,-4.705,-5.178,-5.775,-6.320,-6.761,-7.038,-7.144,-7.147,-7.147,-7.102,-7.152,-7.115,-7.087,-7.049
318,-3.095,-3.323,-3.572,-3.859,-4.210,-4.647,-5.129,-5.708,-6.247,-6.694,-6.982,-7.122,-7.132,-7.133,-7.094,-7.135,-7.115,-7.079,-7.055
319,-3.056,-3.278,-3.527,-3.821,-4.168,-4.601,-5.081,-5.649,-6.187,-6.627,-6.908,-7.072,-7.141,-7.134,-7.124,-7.135,-7.135,-7.081,-7.071
320,-3.027,-3.246,-3.497,-3.802,-4.141,-4.577,-5.044,-5.607,-6.146,-6.582,-6.878,-7.054,-7.112,-7.119,-7.126,-7.136,-7.146,-7.076,-7.068
321,-2.982,-3.209,-3.457,-3.767,-4.107,-4.532,-4.995,-5.558,-6.115,-6.567,-6.867,-7.048,-7.108,-7.117,-7.124,-7.142,-7.143,-7.095,-7.078
322,-2.913,-3.146,-3.397,-3.709,-4.049,-4.463,-4.923,-5.493,-6.037,-6.495,-6.804,-7.007,-7.068,-7.095,-7.088,-7.106,-7.102,-7.058,-7.039
323,-2.832,-3.065,-3.320,-3.634,-3.976,-4.390,-4.850,-5.411,-5.961,-6.411,-6.736,-6.952,-7.034,-7.080,-7.064,-7.091,-7.089,-7.052,-7.049
324,-2.804,-3.034,-3.294,-3.605,-3.947,-4.364,-4.826,-5.373,-5.922,-6.379,-6.714,-6.951,-7.044,-7.106,-7.094,-7.105,-7.109,-7.062,-7.070
325,-2.773,-2.998,-3.262,-3.576,-3.913,-4.330,-4.788,-5.335,-5.882,-6.353,-6.699,-6.943,-7.051,-7.118,-7.120,-7.118,-7.137,-7.086,-7.106
326,-2.692,-2.915,-3.184,-3.503,-3.839,-4.256,-4.710,-5.257,-5.803,-6.271,-6.630,-6.889,-7.007,-7.076,-7.084,-7.091,-7.096,-7.070,-7.081
327,-2.617,-2.845,-3.114,-3.431,-3.770,-4.191,-4.641,-5.183,-5.725,-6.192,-6.564,-6.842,-6.972,-7.047,-7.061,-7.063,-7.068,-7.053,-7.057
328,-2.580,-2.810,-3.077,-3.395,-3.738,-4.158,-4.607,-5.143,-5.685,-6.153,-6.526,-6.805,-6.933,-7.026,-7.045,-7.047,-7.066,-7.053,-7.048
329,-2.558,-2.780,-3.048,-3.370,-3.715,-4.137,-4.583,-5.116,-5.656,-6.123,-6.496,-6.777,-6.920,-7.030,-7.049,-7.055,-7.089,-7.074,-7.068
