Wavelength,HPS(W/m-2),LPS(W/m-2),MH(W/m-2),LED(W/m-2)
200,0,0,0,0
201,0,0,0,0
202,0,0,0,0
203,0,0,0,0
204,0,0,0,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,0,0,0,0
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0,0,0,0
238,0,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0,0
249,0,0,0,0
250,0.000389433,0,-0.000106333,-6.04E-05
251,-7.75E-05,0,2.22E-05,-0.0001314
252,-0.000372,0,6.14E-05,-0.0001655
253,0.0001794,0,0.0002395,-0.00014325
254,-0.0003475,0,0.0001885,4.48E-05
255,6.54E-05,0,0.0003035,-0.0001116
256,-0.000371,0,-0.0003835,-9.03E-05
257,0.0001845,0,-0.0002291,-1.40E-05
258,0.000446,0,0.0001605,-5.29E-05
259,0.0005555,0,0.000362,-0.0002245
260,0.0003895,0,-0.0001482,-0.000229
261,0.0001078,0,3.00E-04,-0.00023
262,0.0001251,0,0.0001035,-0.0001349
263,8.00E-05,0,-0.0003395,-9.02E-05
264,0.000396,0,-0.00012615,-9.20E-05
265,0.000201,0,0.000256985,5.49E-05
266,0.0002488,0,0.000406133,-0.000236333
267,-0.00014695,0,0.0001905,-0.00022475
268,9.49E-05,0,-0.000123,-2.05E-05
269,0.0002825,0,-8.73E-05,-0.0001595
270,0.000348,0,-0.0002904,6.45E-05
271,-3.38E-05,0,0.0002745,-7.32E-05
272,0.0002175,0,0.0005425,-3.43E-05
273,-8.19E-05,0,0.000422,-0.000205333
274,0.00030965,0,0.000468,-0.000304
275,0.000541,0,-2.00E-04,-1.74E-05
276,0.0003345,0,-3.16E-05,-6.20E-05
277,0.0002835,0,-5.49E-05,-0.0003235
278,-0.0001545,0,-0.00015115,5.38E-05
279,0.0004265,0,-0.0006785,-0.00011745
280,0.0003055,0,0.0001194,-0.0003765
281,0.0001413,0,0.0002305,-5.93E-05
282,0.000302,0,-0.000341,6.83E-05
283,-2.05E-05,0,4.60E-05,-1.56E-05
284,-7.50E-06,0,0.000319,-0.0001845
285,0.000279,0,0.00024785,-7.70E-05
286,0.0002005,0,0.0003986,-3.35E-05
287,0.00019705,0,9.76E-05,-0.00021
288,0.000270467,0,-0.000242667,1.19E-05
289,9.95E-05,0,0.0003265,-0.00012395
290,-0.0002865,0,6.50E-06,-0.000167
291,9.45E-05,0,-9.70E-05,6.62E-05
292,0.00024655,0,0.0004865,-4.64E-05
293,0.000255,0,0.000188,-7.45E-05
294,0.000227,0,1.30E-05,-0.0001082
295,7.00E-06,0,0.0004835,-0.0001495
296,0.000244333,0,0.000262367,-1.68E-05
297,4.20E-05,0,0.0003175,-4.44E-05
298,0.00011095,0,0.00015555,-5.81E-05
299,0.0003645,0,8.72E-05,-0.00012745
300,4.11E-05,0,0.0001452,-3.33E-05
301,0.0001319,0,-0.00011,-0.00010435
302,0.0001105,0,0.000226,-4.98E-05
303,0.0001143,0,6.33E-06,-5.60E-05
304,0.0002127,0,-0.00011505,-0.0001056
305,0.000115,0,0.00019025,-4.26E-05
306,1.00E-05,0,0.0002025,-0.00013045
307,0.000211,0,1.53E-05,3.11E-05
308,0.0001755,0,7.32E-05,-2.39E-05
309,0.00015135,0,3.05E-05,-9.60E-05
310,3.33E-05,0,-2.05E-05,-6.35E-05
311,0.0002235,0,0.000252,-7.28E-05
312,2.68E-05,0,6.06E-05,-0.00016885
313,5.29E-05,0,5.60E-05,7.35E-06
314,-6.07E-05,0,-0.0001165,-5.18E-05
315,6.87E-05,0,0.0001037,-0.000195
316,0.0001446,0,-6.53E-05,-7.51E-05
317,6.13E-05,0,0.000335333,-7.73E-05
318,2.50E-05,0,0.000285,-1.97E-05
319,-5.75E-05,0,0.000279,-0.000121
320,4.45E-05,0,-6.35E-05,-0.00013035
321,0.00015445,0,-0.0001465,-6.34E-05
322,0.000109,0,0.00018665,-0.000159
323,0.000120267,0,7.07E-05,-6.26E-05
324,0.00010005,0,0.0002535,-4.32E-05
325,0.00014265,0,9.25E-06,-3.08E-05
326,0.00012165,0,2.60E-05,3.14E-05
327,0.00011245,0,4.13E-05,-6.69E-05
328,0.0002305,0,0.00011645,-0.000125
329,0.00029995,0,-0.0001259,-2.49E-05
330,0.000433333,0,0.000173833,-2.78E-05
331,0.000378,0,0.0002155,-2.82E-05
332,0.0004615,0,-7.81E-05,-0.0001615
333,0.0005485,0,0.00010855,-6.27E-05
334,0.0002815,0,0.0002475,-0.0001683
335,0.0003385,0,4.60E-05,-9.28E-05
336,0.000257,0,6.05E-06,-0.00013405
337,0.000358667,0,0.000386,-6.86E-05
338,0.0004825,0,-0.00011805,-2.51E-05
339,0.000347,0,9.14E-05,-6.15E-05
340,0.000181,0,0.00014105,4.87E-05
341,0.0004265,0,0.00025605,-2.00E-04
342,0.000311,0,0.000175275,-9.15E-05
343,0.000356333,0,0.000216533,-6.23E-05
344,0.0003095,0,6.53E-05,-0.00010235
345,0.00037,0,0.00017535,-6.82E-05
346,0.0002775,0,0.00021765,-4.47E-05
347,0.000142325,0,0.0003555,-6.33E-05
348,0.000399,0,0.0004025,-9.10E-05
349,0.00046,0,0.000549,5.72E-05
350,0.000276667,0,0.000815333,-4.57E-05
351,0.000162,0,0.001495,-6.14E-05
352,0.0002125,0,0.00161,-1.80E-05
353,0.0005285,0,0.00166,7.80E-06
354,0.0004865,0,0.001605,-4.50E-05
355,0.000555,0,0.001615,1.55E-06
356,0.000523333,0,0.001396667,-4.27E-05
357,0.0005105,0,0.001058,-3.89E-05
358,0.000452,0,0.0010645,-8.83E-05
359,0.000728,0,0.001121,-9.65E-05
360,0.000493,0,0.00144,-5.41E-05
361,0.000686,0,0.00171,-0.00013345
362,0.000552,0,0.001996667,-3.58E-05
363,0.000632,0,0.00342,2.90E-05
364,0.0008705,0,0.00416,-0.0001043
365,0.0006985,0,0.00495,-0.00013045
366,0.000927,0,0.00489,-9.10E-06
367,0.0008015,0,0.00485,-1.92E-05
368,0.000901,0,0.004493333,-5.63E-05
369,0.0008555,0,0.003615,-5.34E-05
370,0.000824,0,0.00243,-4.04E-05
371,0.000923,0,0.002055,2.70E-06
372,0.000768,0,0.002465,-1.54E-05
373,0.0008845,0,0.00286,1.93E-05
374,0.000859333,0,0.00357,-4.38E-05
375,0.0008965,0,0.00431,-3.06E-05
376,0.000931,0,0.005605,-5.50E-05
377,0.0009185,0,0.006465,-5.18E-05
378,0.000949,0,0.00682,-6.65E-05
379,0.0010195,0,0.006745,-1.38E-05
380,0.000992667,0,0.006823333,-3.10E-06
381,0.001205,0,0.00622,-4.01E-05
382,0.00106,0,0.005485,-1.93E-05
383,0.001115,0,0.00435,2.84E-05
384,0.0010115,0,0.00385,-3.05E-05
385,0.0010885,0,0.00361,-3.17E-05
386,0.001062333,0,0.00369,-3.51E-05
387,0.001105,0,0.003915,-6.09E-05
388,0.001215,0,0.00389,-7.05E-06
389,0.00128,0,0.004385,-7.05E-05
390,0.001255,0,0.004955,-7.34E-05
391,0.001355,0,0.00554,-6.45E-05
392,0.001306667,0,0.007616667,-3.01E-05
393,0.00121,0,0.008635,1.60E-05
394,0.001395,0,0.009115,4.87E-05
395,0.001525,0,0.00983,-8.20E-06
396,0.001375,0,0.0105,-5.48E-05
397,0.001465,0,0.01002,-5.70E-05
398,0.001533333,0,0.008286667,-5.23E-05
399,0.00172,0,0.007285,-5.55E-06
400,0.001725,0,0.006915,3.07E-05
401,0.001795,0,0.006685,7.25E-05
402,0.0017,0,0.00623,5.60E-05
403,0.001906667,0,0.006973333,0.000116833
404,0.00206,0,0.007995,9.11E-05
405,0.00208,0,0.00786,7.84E-05
406,0.00216,0,0.008245,0.00013285
407,0.002235,0,0.008275,0.0001875
408,0.002185,0,0.007795,0.000207
409,0.002223333,0,0.006503333,0.000274667
410,0.002175,0,0.00524,0.000341
411,0.002245,0,0.00523,0.000419
412,0.002445,0,0.005215,0.000566
413,0.00233,0,0.00528,0.0007265
414,0.002426667,0,0.00551,0.000886667
415,0.002425,0,0.006065,0.00107
416,0.002625,0,0.006575,0.00129
417,0.002565,0,0.00752,0.00156
418,0.002745,0,0.0093,0.00177
419,0.002845,0,0.0108,0.0022
420,0.00284,0,0.013933333,0.002676667
421,0.003015,0,0.01755,0.00323
422,0.003125,0,0.0189,0.003795
423,0.003105,0,0.0194,0.004305
424,0.00304,0,0.01885,0.00491
425,0.003163333,0,0.018566667,0.005866667
426,0.00324,0,0.01685,0.00687
427,0.00338,0,0.0145,0.00777
428,0.003325,0,0.01185,0.008525
429,0.00352,0,0.0114,0.009565
430,0.00354,0,0.0116,0.01075
431,0.00385,0,0.012233333,0.012066667
432,0.003965,0,0.01305,0.0135
433,0.004185,0,0.01345,0.01495
434,0.00427,0,0.01425,0.0162
435,0.00455,0,0.0143,0.01765
436,0.004753333,0,0.013533333,0.0196
437,0.00462,0,0.0131,0.02155
438,0.0049,0,0.0129,0.0233
439,0.004845,0,0.0125,0.0249
440,0.004795,0,0.01125,0.02655
441,0.00471,0,0.00972,0.028766667
442,0.004645,0,0.0105,0.0308
443,0.004595,0,0.01115,0.03235
444,0.004535,0,0.01215,0.03375
445,0.004565,0,0.01205,0.0349
446,0.004895,0,0.0117,0.0356
447,0.00526,0,0.0108,0.0361
448,0.00596,0,0.009335,0.0362
449,0.00631,0,0.008245,0.03585
450,0.006755,0,0.00708,0.03495
451,0.006875,0,0.00589,0.0339
452,0.006833333,0,0.00588,0.032166667
453,0.006635,0,0.006185,0.03045
454,0.006075,0,0.006205,0.02875
455,0.00541,0,0.00615,0.02685
456,0.004935,0,0.00612,0.0254
457,0.004283333,0,0.00631,0.023333333
458,0.00405,0,0.0063,0.02135
459,0.00385,0,0.006335,0.0198
460,0.004085,0,0.006225,0.0186
461,0.00433,0,0.006135,0.01735
462,0.005533333,0,0.00599,0.015966667
463,0.007075,0,0.00612,0.01475
464,0.008385,0,0.005965,0.0139
465,0.00959,0,0.006265,0.01305
466,0.01085,0,0.006375,0.01235
467,0.011633333,0,0.00651,0.0115
468,0.01195,0,0.00656,0.01075
469,0.01145,0,0.00651,0.0102
470,0.0107,0,0.006515,0.00967
471,0.009815,0,0.006535,0.00905
472,0.00799,0,0.006296667,0.008546667
473,0.006045,0,0.00615,0.00803
474,0.00515,0,0.00587,0.007655
475,0.004635,0,0.00579,0.00734
476,0.004065,0,0.00559,0.006985
477,0.00339,0,0.005436667,0.006653333
478,0.00291,0,0.005445,0.00635
479,0.00266,0,0.005465,0.006195
480,0.00219,0,0.005615,0.00598
481,0.00166,0,0.00603,0.00582
482,0.001456667,0,0.006536667,0.00564
483,0.001505,0,0.00672,0.005395
484,0.001525,0,0.00682,0.0054
485,0.001505,0,0.007,0.00535
486,0.001725,0,0.007225,0.00532
487,0.00193,0,0.007263333,0.005303333
488,0.00215,0,0.007525,0.00527
489,0.002415,0,0.007305,0.005335
490,0.00258,0,0.007295,0.00538
491,0.003045,0,0.00745,0.005475
492,0.004296667,0,0.007303333,0.005616667
493,0.00739,0,0.007655,0.005835
494,0.0113,0,0.008185,0.005985
495,0.0156,0,0.008805,0.006245
496,0.01965,0,0.00979,0.006415
497,0.023633333,0,0.0107,0.006756667
498,0.0263,0,0.01125,0.007075
499,0.027,0,0.01175,0.007335
500,0.02575,0,0.0121,0.007685
501,0.022666667,0,0.012033333,0.008076667
502,0.018,0,0.01155,0.00854
503,0.01315,0,0.011,0.00892
504,0.00798,0,0.0107,0.009275
505,0.00462,0,0.0104,0.00951
506,0.003113333,0,0.01005,0.01011
507,0.002475,0,0.009905,0.0106
508,0.002385,0,0.010005,0.011
509,0.002295,0,0.01015,0.0113
510,0.002525,0,0.01035,0.01175
511,0.00354,0,0.010833333,0.012166667
512,0.00474,0,0.0115,0.0127
513,0.00567,0,0.01215,0.013
514,0.00634,0,0.01265,0.01345
515,0.00674,0,0.01305,0.01365
516,0.00682,0,0.013333333,0.0141
517,0.0066,0,0.0135,0.0145
518,0.00609,0,0.0135,0.0149
519,0.00534,0,0.0135,0.0151
520,0.003996667,0,0.013133333,0.015566667
521,0.00269,0,0.01285,0.01585
522,0.00218,0,0.0132,0.0161
523,0.002085,0,0.01355,0.0164
524,0.00215,0,0.01395,0.0166
525,0.002103333,0,0.013833333,0.0169
526,0.002095,0,0.0141,0.0172
527,0.002155,0,0.0138,0.0173
528,0.00218,0,0.0136,0.01755
529,0.0022,0,0.013166667,0.0178
530,0.002175,0,0.01315,0.0179
531,0.002265,0,0.01615,0.01805
532,0.002275,0,0.02015,0.0182
533,0.00234,0,0.02445,0.01835
534,0.002426667,0,0.0283,0.018533333
535,0.002525,0,0.02865,0.01865
536,0.002495,0,0.0287,0.0188
537,0.002555,0,0.02835,0.0188
538,0.002686667,0,0.025566667,0.018833333
539,0.0028,0,0.0195,0.01905
540,0.0029,0,0.0141,0.0191
541,0.00303,0,0.0125,0.019
542,0.0034,0,0.01395,0.01915
543,0.003796667,0,0.017566667,0.019233333
544,0.004435,0,0.0205,0.01925
545,0.005095,0,0.02105,0.0193
546,0.00575,0,0.02085,0.01935
547,0.007296667,0,0.020166667,0.0193
548,0.009045,0,0.01915,0.01935
549,0.01065,0,0.0173,0.01935
550,0.0123,0,0.01415,0.01935
551,0.014,0.0002215,0.010535,0.01935
552,0.016333333,0.000136233,0.009703333,0.019466667
553,0.0191,0.000269,0.0106,0.01935
554,0.0217,0.00010605,0.01135,0.0193
555,0.025,0.00028,0.01265,0.01935
556,0.029566667,0.0002194,0.014533333,0.019266667
557,0.0343,0.0001471,0.01645,0.0193
558,0.038,0.00015245,0.0171,0.01925
559,0.0419,0.000248,0.01705,0.0192
560,0.04555,9.26E-05,0.01635,0.0192
561,0.0489,0.000312,0.015133333,0.019166667
562,0.0527,0.000211,0.0143,0.01915
563,0.0575,0.0003818,0.01345,0.01905
564,0.066,0.0006655,0.0133,0.0191
565,0.084033333,0.00239,0.017633333,0.019
566,0.10125,0.00421,0.02455,0.01895
567,0.112,0.00509,0.0288,0.019
568,0.119,0.00518,0.0306,0.01885
569,0.122666667,0.005216667,0.030633333,0.018766667
570,0.1205,0.004985,0.02945,0.0188
571,0.116,0.00457,0.02725,0.01855
572,0.1075,0.00337,0.02355,0.01855
573,0.095333333,0.002166667,0.017066667,0.0185
574,0.0832,0.00141,0.0127,0.01845
575,0.07735,0.001455,0.01275,0.0184
576,0.07875,0.00181,0.01295,0.0183
577,0.08235,0.001785,0.0136,0.01815
578,0.088866667,0.002363333,0.0139,0.018066667
579,0.0966,0.002715,0.01435,0.018
580,0.1035,0.00313,0.0147,0.0179
581,0.1095,0.00373,0.01465,0.01775
582,0.115666667,0.00458,0.015233333,0.017666667
583,0.115,0.006545,0.01765,0.01755
584,0.11,0.01625,0.0231,0.0174
585,0.0998,0.0828,0.03345,0.01735
586,0.084066667,0.262333333,0.047133333,0.0172
587,0.0661,0.402,0.06545,0.017
588,0.0529,0.4455,0.08325,0.01695
589,0.0426,0.4445,0.1001,0.0168
590,0.038666667,0.425666667,0.114666667,0.016733333
591,0.0442,0.3965,0.122,0.01655
592,0.05545,0.33,0.12,0.0164
593,0.07035,0.21,0.115,0.01625
594,0.0892,0.050533333,0.106333333,0.016066667
595,0.107,0.005065,0.0899,0.016
596,0.119,0.003185,0.077,0.0159
597,0.1255,0.002265,0.0673,0.0157
598,0.1295,0.001935,0.0597,0.01555
599,0.129666667,0.001506667,0.051966667,0.015366667
600,0.126,0.001117,0.0463,0.0152
601,0.1215,0.000877,0.04215,0.015
602,0.117,0.000825,0.03865,0.01485
603,0.111,0.000748,0.035266667,0.014733333
604,0.1045,0.0005785,0.03165,0.01445
605,0.09985,0.0005375,0.0295,0.01435
606,0.0953,0.000645,0.0274,0.0142
607,0.090066667,0.000407333,0.025433333,0.014033333
608,0.0849,0.0003255,0.0241,0.0138
609,0.08145,0.0003985,0.02395,0.01375
610,0.0779,0.000291,0.0236,0.01355
611,0.0752,0.000427333,0.022666667,0.013333333
