Wavelength,Moon(W/m2/nm),Moon(uW/m2),,,
250,1.14E-08,1.14E-02,,,
251,9.77E-09,9.77E-03,,,
252,1.17E-08,1.17E-02,,,
253,1.39E-08,1.39E-02,,,
254,1.45E-08,1.45E-02,,,
255,1.22E-08,1.22E-02,,,
256,8.91E-09,8.91E-03,,,
257,7.00E-09,7.00E-03,,,
258,8.37E-09,8.37E-03,,,
259,1.13E-08,1.13E-02,,,
260,1.16E-08,1.16E-02,,,
261,1.05E-08,1.05E-02,,,
262,9.69E-09,9.69E-03,,,
263,1.05E-08,1.05E-02,,,
264,1.11E-08,1.11E-02,,,
265,1.04E-08,1.04E-02,,,
266,8.68E-09,8.68E-03,,,
267,7.27E-09,7.27E-03,,,
268,7.91E-09,7.91E-03,,,
269,8.37E-09,8.37E-03,,,
270,9.38E-09,9.38E-03,,,
271,1.05E-08,1.05E-02,,,
272,1.05E-08,1.05E-02,,,
273,7.38E-09,7.38E-03,,,
274,6.08E-09,6.08E-03,,,
275,9.92E-09,9.92E-03,,,
276,1.11E-08,1.11E-02,,,
277,9.07E-09,9.07E-03,,,
278,8.53E-09,8.53E-03,,,
279,9.46E-09,9.46E-03,,,
280,1.14E-08,1.14E-02,,,
281,1.07E-08,1.07E-02,,,
282,8.45E-09,8.45E-03,,,
283,7.83E-09,7.83E-03,,,
284,8.29E-09,8.29E-03,,,
285,8.84E-09,8.84E-03,,,
286,7.91E-09,7.91E-03,,,
287,6.93E-09,6.93E-03,,,
288,7.29E-09,7.29E-03,,,
289,8.22E-09,8.22E-03,,,
290,8.99E-09,8.99E-03,,,
291,8.91E-09,8.91E-03,,,
292,8.22E-09,8.22E-03,,,
293,7.91E-09,7.91E-03,,,
294,8.76E-09,8.76E-03,,,
295,9.92E-09,9.92E-03,,,
296,8.99E-09,8.99E-03,,,
297,7.75E-09,7.75E-03,,,
298,8.06E-09,8.06E-03,,,
299,8.53E-09,8.53E-03,,,
300,8.99E-09,8.99E-03,,,
301,9.61E-09,9.61E-03,,,
302,9.61E-09,9.61E-03,,,
303,8.91E-09,8.91E-03,,,
304,8.76E-09,8.76E-03,,,
305,9.38E-09,9.38E-03,,,
306,1.01E-08,1.01E-02,,,
307,1.06E-08,1.06E-02,,,
308,1.04E-08,1.04E-02,,,
309,9.46E-09,9.46E-03,,,
310,8.84E-09,8.84E-03,,,
311,9.77E-09,9.77E-03,,,
312,1.05E-08,1.05E-02,,,
313,1.05E-08,1.05E-02,,,
314,1.01E-08,1.01E-02,,,
315,9.92E-09,9.92E-03,,,
316,1.04E-08,1.04E-02,,,
317,1.18E-08,1.18E-02,,,
318,1.26E-08,1.26E-02,,,
319,1.10E-08,1.10E-02,,,
320,1.00E-08,1.00E-02,,,
321,1.19E-08,1.19E-02,,,
322,1.25E-08,1.25E-02,,,
323,1.15E-08,1.15E-02,,,
324,1.19E-08,1.19E-02,,,
325,1.25E-08,1.25E-02,,,
326,1.19E-08,1.19E-02,,,
327,1.29E-08,1.29E-02,,,
328,1.53E-08,1.53E-02,,,
329,1.69E-08,1.69E-02,,,
330,1.85E-08,1.85E-02,,,
331,2.07E-08,2.07E-02,,,
332,2.25E-08,2.25E-02,,,
333,2.48E-08,2.48E-02,,,
334,2.91E-08,2.91E-02,,,
335,3.21E-08,3.21E-02,,,
336,3.31E-08,3.31E-02,,,
337,3.71E-08,3.71E-02,,,
338,4.38E-08,4.38E-02,,,
339,5.00E-08,5.00E-02,,,
340,5.60E-08,5.60E-02,,,
341,6.21E-08,6.21E-02,,,
342,6.60E-08,6.60E-02,,,
343,6.91E-08,6.91E-02,,,
344,7.37E-08,7.37E-02,,,
345,7.91E-08,7.91E-02,,,
346,8.53E-08,8.53E-02,,,
347,9.22E-08,9.22E-02,,,
348,1.00E-07,1.00E-01,,,
349,1.09E-07,1.09E-01,,,
350,1.16E-07,1.16E-01,,,
351,1.22E-07,1.22E-01,,,
352,1.31E-07,1.31E-01,,,
353,1.42E-07,1.42E-01,,,
354,1.50E-07,1.50E-01,,,
355,1.50E-07,1.50E-01,,,
356,1.46E-07,1.46E-01,,,
357,1.45E-07,1.45E-01,,,
358,1.51E-07,1.51E-01,,,
359,1.63E-07,1.63E-01,,,
360,1.77E-07,1.77E-01,,,
361,1.88E-07,1.88E-01,,,
362,1.98E-07,1.98E-01,,,
363,2.10E-07,2.10E-01,,,
364,2.27E-07,2.27E-01,,,
365,2.46E-07,2.46E-01,,,
366,2.59E-07,2.59E-01,,,
367,2.64E-07,2.64E-01,,,
368,2.69E-07,2.69E-01,,,
369,2.79E-07,2.79E-01,,,
370,2.84E-07,2.84E-01,,,
371,2.80E-07,2.80E-01,,,
372,2.70E-07,2.70E-01,,,
373,2.61E-07,2.61E-01,,,
374,2.62E-07,2.62E-01,,,
375,2.79E-07,2.79E-01,,,
376,3.05E-07,3.05E-01,,,
377,3.22E-07,3.22E-01,,,
378,3.29E-07,3.29E-01,,,
379,3.26E-07,3.26E-01,,,
380,3.15E-07,3.15E-01,,,
381,2.96E-07,2.96E-01,,,
382,2.78E-07,2.78E-01,,,
383,2.75E-07,2.75E-01,,,
384,2.93E-07,2.93E-01,,,
385,3.15E-07,3.15E-01,,,
386,3.34E-07,3.34E-01,,,
387,3.50E-07,3.50E-01,,,
388,3.74E-07,3.74E-01,,,
389,4.06E-07,4.06E-01,,,
390,4.21E-07,4.21E-01,,,
391,4.10E-07,4.10E-01,,,
392,3.79E-07,3.79E-01,,,
393,3.63E-07,3.63E-01,,,
394,3.75E-07,3.75E-01,,,
395,3.97E-07,3.97E-01,,,
396,4.30E-07,4.30E-01,,,
397,4.77E-07,4.77E-01,,,
398,5.45E-07,5.45E-01,,,
399,6.22E-07,6.22E-01,,,
400,6.91E-07,6.91E-01,,,
401,7.35E-07,7.35E-01,,,
402,7.54E-07,7.54E-01,,,
403,7.61E-07,7.61E-01,,,
404,7.59E-07,7.59E-01,,,
405,7.57E-07,7.57E-01,,,
406,7.55E-07,7.55E-01,,,
407,7.65E-07,7.65E-01,,,
408,7.75E-07,7.75E-01,,,
409,7.83E-07,7.83E-01,,,
410,7.91E-07,7.91E-01,,,
411,8.14E-07,8.14E-01,,,
412,8.37E-07,8.37E-01,,,
