Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs
Aden,44.9694425,12.7903297,GESLA,0.485,135.922,0.214,156.266,0.135,130.76,0.06,150.862,0.399,349.45,0.203,352.397,0.122,347.433,0.043,351.574
Akyab (sittwe),92.9042227,20.1400404,GESLA,0.765,92.232,0.34,121.892,0.15,86.174,0.095,119.097,0.133,250.296,0.054,242.533,0.039,248.983,0.005,249.71
Balikpapan,116.8036907,-1.2715053,GESLA,0.604,284.186,0.461,334.715,0.079,266.175,0.14,331.549,0.236,162.743,0.17,140.149,0.072,157.861,0.039,136.435
Beihai,109.0796737,21.4861353,GESLA,0.456,306.821,0.11,357.028,0.09,276.775,0.079,16.009,0.897,336.08,0.981,282.124,0.279,330.621,0.199,255.1
Bintulu,113.0531387,3.2574902,GESLA,0.189,181.525,0.06,165.324,0.057,170.243,0.009,183.684,0.419,199.173,0.349,158.952,0.135,196.112,0.063,140.205
Bitung,125.1995871,1.4375868,GESLA,0.347,274.85,0.23,312.086,0.049,261.414,0.069,308.037,0.207,132.641,0.126,111.189,0.066,129.787,0.025,114.765
Booby island,141.9167,-10.6,GESLA,0.718,202.369,0.14,323.029,0.169,161.685,0.048,294.798,0.696,44.482,0.429,352.334,0.182,36.565,0.08,328.665
Brisbane,153.1615931,-27.3770661,GESLA,0.707,345.791,0.192,2.672,0.138,341.591,0.057,353.783,0.211,20.962,0.117,352.38,0.06,19.306,0.024,328.773
Broome,122.2192964,-18.0008979,GESLA,2.387,65.898,1.481,125.834,0.4,40.243,0.415,123.718,0.256,171.868,0.159,160.851,0.072,173.515,0.035,153.718
Carnarvon,113.6509704,-24.9003242,GESLA,0.318,74.823,0.14,134.429,0.061,53.899,0.039,127.548,0.221,173.034,0.144,164.747,0.069,168.853,0.033,157.666
Casey,110.4900412,-66.2769469,GESLA,0.289,142.533,0.165,198.791,0.071,123.087,0.044,196.66,0.261,242.574,0.261,235.017,0.085,244.369,0.061,226.222
Cebu,123.9135672,10.2960309,GESLA,0.407,83.6,0.226,129.061,0.063,64.183,0.071,128.444,0.309,204.895,0.288,168.596,0.103,205.545,0.057,152.297
Cendering,103.1888361,5.2587514,GESLA,0.3,6.973,0.12,42.85,0.064,348.887,0.033,46.266,0.491,242.359,0.307,204.891,0.149,243.075,0.056,189.802
Chabahar,60.6029566,25.2987563,GESLA,0.665,155.772,0.257,185.014,0.164,138.526,0.069,179.996,0.397,338.731,0.206,339.956,0.122,336.182,0.043,340.705
Charchanga,91.05,22.2188,GESLA,0.963,234.175,0.374,265.64,0.182,212.925,0.099,264.843,0.127,303.357,0.078,284.298,0.041,309.778,0.008,270.695
Chittagong,91.833333,22.323,GESLA,1.732,196.353,0.637,228.686,0.327,181.286,0.174,228.654,0.189,277.466,0.083,264.036,0.057,283.21,0.007,286.979
Cilicap-b,108.9914121,-7.737582,GESLA,0.473,25.897,0.24,85.404,0.089,357.119,0.068,83.01,0.188,166.557,0.117,156.233,0.058,165.1,0.024,144.381
Colombo,79.8341213,6.9643128,GESLA,0.18,245.565,0.125,288.357,0.022,234.117,0.036,285.084,0.071,309.84,0.03,340.349,0.022,314.087,0.009,3.212
Crozet-b,51.8713411,-46.4268488,GESLA,0.138,157.498,0.038,193.752,0.032,140.257,0.01,185.523,0.03,133.657,0.027,297.925,0.006,113.44,0.008,287.442
Dalian-a,121.6697154,38.9358163,GESLA,0.972,55.735,0.304,101.256,0.182,30.495,0.084,98.26,0.256,241.135,0.182,209.971,0.074,235.077,0.035,189.549
Dar es salaam,39.3008849,-6.8209588,GESLA,1.064,26.165,0.53,66.074,0.207,4.629,0.138,62.395,0.175,357.312,0.108,1.966,0.051,356.414,0.023,0.484
Davao-b,125.6290514,7.0761878,GESLA,0.564,286.32,0.287,320.585,0.099,272.297,0.084,319.297,0.129,98.788,0.087,86.922,0.045,91.007,0.016,94.353
Davis,77.9667,-68.45,GESLA,0.202,207.31,0.177,307.221,0.059,171.088,0.05,309.027,0.275,276.614,0.287,269.388,0.09,275.663,0.067,260.67
Diego garcia-d,72.4100128,-7.2925302,GESLA,0.492,263.632,0.285,293.564,0.088,260.726,0.08,288.683,0.037,71.869,0.04,67.219,0.013,58.669,0.009,53.33
Djibouti,43.1357085,11.6010484,GESLA,0.485,135.67,0.219,156.152,0.135,131.155,0.06,150.962,0.393,350.523,0.198,353.677,0.121,349.215,0.041,353.373
Dongfang,108.6185454,19.1060422,GESLA,0.181,189.41,0.055,238.271,0.035,164.754,0.027,235.4,0.532,310.739,0.63,259.329,0.169,304.442,0.133,231.752
Durban,31.0363958,-29.8801713,GESLA,0.565,44.156,0.313,75.832,0.099,37.656,0.089,72.782,0.053,145.412,0.016,298.074,0.015,141.563,0.009,272.616
Dzaoudi,45.2521081,-12.782532,GESLA,1.046,27.236,0.536,66.749,0.193,5.793,0.147,63.437,0.139,3.86,0.088,6.44,0.042,2.764,0.02,351.558
East london,27.9181591,-33.027351,GESLA,0.51,46.763,0.272,74.618,0.097,41.955,0.076,71.441,0.057,142.013,0.015,278.056,0.016,139.133,0.01,261.121
Enewetok-a,162.3867,11.43,GESLA,0.341,145.21,0.204,164.292,0.061,147.87,0.055,154.406,0.118,71.625,0.079,45.052,0.037,72.342,0.016,33.967
Fort denison,151.2254063,-33.8546054,GESLA,0.503,307.068,0.124,320.628,0.112,299.03,0.037,309.191,0.148,329.152,0.097,300.3,0.044,325.563,0.023,278.665
Gan,73.1521372,-0.6876387,GESLA,0.3,252.272,0.181,286.166,0.048,248.344,0.051,282.513,0.09,358.969,0.053,14.466,0.026,0.038,0.013,15.856
Haikou,110.2705112,20.0329089,GESLA,0.222,26.284,0.13,81.551,0.026,13.008,0.079,71.679,0.409,335.416,0.513,282.001,0.131,328.018,0.114,253.918
Hanimaadhoo-b,73.17227,6.7681916,GESLA,0.232,196.895,0.113,247.246,0.042,168.037,0.03,244.714,0.182,340.61,0.092,349.288,0.055,337.165,0.022,355.37
Hillarys,115.7328927,-31.8233956,GESLA,0.054,56.092,0.046,57.815,0.015,106.404,0.014,53.035,0.172,182.768,0.121,175.244,0.054,175.418,0.029,169.409
Hiron point,89.4674033,21.8200199,GESLA,0.82,127.834,0.345,160.206,0.163,120.916,0.099,159.656,0.133,267.726,0.051,257.896,0.042,264.423,0.002,279.142
Hon dau-b,106.8083101,20.670615,GESLA,0.065,197.52,0.046,253.818,0.014,169.479,0.019,215.201,0.711,345.978,0.819,290.369,0.228,341.902,0.162,258.36
Hong kong-b,114.2255084,22.2872638,GESLA,0.388,36.538,0.155,56.294,0.084,24.969,0.046,55.069,0.357,179.648,0.29,139.706,0.115,175.28,0.055,122.49
Inhambane,35.3758846,-23.8676328,GESLA,0.894,76.311,0.505,119.099,0.15,63.885,0,0,0.033,156.606,0.038,342.429,0.003,157.563,0.015,292.817
Jakarta,106.8642908,-6.102661,GESLA,0.057,141.114,0.051,76.181,0.021,111.094,0.019,49.978,0.257,34.429,0.136,22.004,0.076,31.965,0.035,11.525
Johor baharu,103.7862283,1.4694008,GESLA,0.876,94.005,0.342,143.952,0.17,73.594,0.099,140.345,0.307,341.751,0.307,298.033,0.096,335.367,0.062,269.041
Jolo,120.9995065,6.0586984,GESLA,0.17,0.487,0.101,34.567,0.028,345.963,0.031,35.539,0.251,194.378,0.246,163.12,0.08,194.555,0.05,148.304
Kaohsiung,120.2554054,22.6182287,GESLA,0.181,350.497,0.069,352.199,0.041,339.309,0.018,354.901,0.174,166.346,0.16,129.563,0.057,161.182,0.032,108.69
Kapingamarangi,154.7767,1.0983,GESLA,0.171,149.335,0.159,167.631,0.032,174.873,0.053,167.796,0.197,69.435,0.123,50.049,0.065,67.895,0.023,40.618
Karachi-b,66.9722321,24.8039287,GESLA,0.802,158.018,0.312,187.15,0.193,141.744,0.086,182.571,0.399,337.703,0.203,339.253,0.119,335.146,0.042,340.615
Kavieng,150.7878331,-2.5842819,GESLA,0.078,154.65,0.122,156.294,0.026,200.944,0.035,149.215,0.222,60.051,0.136,43.172,0.07,58.346,0.025,33.515
Keelung,121.7522526,25.1587781,GESLA,0.228,47.31,0.056,40.424,0.058,20.789,0.014,32.327,0.188,107.06,0.156,82.752,0.062,104.414,0.032,67.407
Keling,102.1529352,2.2116337,GESLA,0.612,356.041,0.298,35.625,0.11,346.891,0.083,30.612,0.092,32.301,0.215,33.776,0.03,7.692,0.028,9.259
Kerguelen,70.1427657,-49.411557,GESLA,0.521,190.234,0.219,230.372,0.114,172.397,0.06,227.434,0.079,151.449,0.019,117.161,0.024,145.559,0.001,132.805
Khepupara,89.8132151,21.8216681,GESLA,0.856,141.704,0.378,179.695,0.163,137.665,0.107,179.244,0.131,279.277,0.055,265.842,0.043,274.643,0.004,255.712
Ko taphao noi,98.4136918,7.8318063,GESLA,0.788,99.712,0.401,135.94,0.151,94.379,0.113,130.933,0.131,224.923,0.049,191.076,0.039,222.695,0.007,136.613
Kuantan,103.4325749,3.9798806,GESLA,0.531,29.224,0.176,68.735,0.115,5.764,0.06,76.387,0.528,252.777,0.361,218.204,0.164,253.414,0.07,202.471
Kukup,103.4386866,1.3322829,GESLA,0.94,91.815,0.429,136.982,0.172,81.1,0.13,132.575,0.259,42.424,0.254,8.269,0.078,33.663,0.038,331.372
Lamu-b,40.9078062,-2.2598218,GESLA,0.982,31.653,0.485,72.975,0.178,12.801,0.132,69.871,0.198,358.572,0.118,4.284,0.056,0.229,0.026,359.74
Langkawi,99.7651073,6.4305486,GESLA,0.806,118.023,0.447,155.854,0.149,113.744,0.124,150.629,0.168,231.958,0.053,184.124,0.051,233.911,0.009,133.054
Legaspi,123.7604499,13.1466359,GESLA,0.527,284.836,0.221,312.993,0.097,272.835,0.063,311.085,0.16,78.881,0.11,70.305,0.052,79.107,0.025,62.139
Lianyungang,119.4393594,34.7565583,GESLA,1.662,306.16,0.498,344.6,0.321,283.08,0.143,340.309,0.296,254.846,0.233,201.401,0.085,245.151,0.041,169.468
Lungsurannaga,117.9245796,2.0667198,GESLA,0.965,302.762,0.589,345.632,0.153,287.249,0.166,342.41,0.194,149.55,0.147,128.5,0.062,151.145,0.027,120.707
Lusi-a,121.6167,32.1333,GESLA,1.708,120.382,0.748,156.249,0.317,106.493,0.216,148.922,0.196,28.388,0.104,332.097,0.045,24.973,0.013,296.11
